job_id,company_id,job_level,job_function,city,salary_min_k,salary_max_k,target_top10,online_days,urgency,hot_function,industry,company_size,funding_stage,brand_level,salary_level,intl_flag,top10_talent_ratio,avg_apply_cnt,hire_rate,talent_care_index,enterprise_tier,overall_rating,work_life_balance_score,salary_competitiveness,resume_response_rate,resume_response_time,offer_conversion_rate,impression_cnt,view_cnt,apply_cnt,hire_cnt,price_label
1,1,初级,运营,北京,33,41,1,49,1,0,教育,50,上市公司,2,4,1,0.263,272,0.246,0.647,T2,3.41,4.97,4.48,0.538,3.31,0.551,832,786,200,44,316.6
2,1,高级,后端开发,杭州,9,20,1,43,1,1,教育,50,上市公司,2,4,1,0.263,272,0.246,0.647,T2,3.41,4.97,4.48,0.538,3.31,0.551,754,705,201,42,316.91
3,1,中级,前端开发,北京,14,16,0,57,2,0,教育,50,上市公司,2,4,1,0.263,272,0.246,0.647,T2,3.41,4.97,4.48,0.538,3.31,0.551,817,772,238,66,327.4
4,2,高级,数据分析,新加坡,8,14,0,58,3,1,咨询,3000,C轮及以上,4,5,1,0.493,271,0.2,0.305,T2,4.26,2.58,3.46,0.24,6.99,0.448,763,723,219,38,399
5,2,初级,数据分析,北京,21,29,0,42,1,1,咨询,3000,C轮及以上,4,5,1,0.493,271,0.2,0.305,T2,4.26,2.58,3.46,0.24,6.99,0.448,801,768,232,49,399
6,3,初级,产品经理,北京,29,32,0,11,2,0,制造业,3000,上市公司,3,3,0,0.171,52,0.298,0.325,T2,3.44,3.61,3.59,0.322,1.93,0.148,795,751,208,66,307.69
7,3,初级,前端开发,新加坡,20,28,0,45,1,0,制造业,3000,上市公司,3,3,0,0.171,52,0.298,0.325,T2,3.44,3.61,3.59,0.322,1.93,0.148,765,730,192,61,302.46
8,4,初级,算法工程师,杭州,21,35,0,30,3,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,0.466,T1,3.04,3.76,3.99,0.695,1.17,0.237,743,703,216,28,363.41
9,4,高级,算法工程师,广州,8,21,0,28,2,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,0.466,T1,3.04,3.76,3.99,0.695,1.17,0.237,790,746,244,38,372.17
10,4,高级,算法工程师,新加坡,20,31,0,20,3,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,0.466,T1,3.04,3.76,3.99,0.695,1.17,0.237,799,759,239,33,370.68
11,4,高级,后端开发,广州,24,37,0,35,3,1,咨询,1000,上市公司,5,2,0,0.233,271,0.131,0.466,T1,3.04,3.76,3.99,0.695,1.17,0.237,799,756,236,36,369.78
12,5,初级,算法工程师,杭州,32,44,0,40,2,1,咨询,100,B轮,4,3,1,0.451,55,0.285,0.509,T1,4.65,2.79,3.97,0.698,4.3,0.26,808,765,226,62,395.32
13,6,中级,后端开发,杭州,11,23,0,33,2,1,金融,100,上市公司,3,2,0,0.051,142,0.279,0.462,T2,3.73,2.92,2.67,0.829,3.68,0.482,796,770,234,66,250
14,6,初级,算法工程师,北京,12,19,0,47,1,1,金融,100,上市公司,3,2,0,0.051,142,0.279,0.462,T2,3.73,2.92,2.67,0.829,3.68,0.482,833,783,208,59,250
15,7,高级,数据分析,新加坡,31,38,0,48,1,1,制造业,3000,A轮,3,5,1,0.068,57,0.053,0.551,T2,3.71,3.38,4.58,0.608,3.91,0.501,813,774,248,11,258.96
16,7,中级,前端开发,杭州,11,18,1,48,2,0,制造业,3000,A轮,3,5,1,0.068,57,0.053,0.551,T2,3.71,3.38,4.58,0.608,3.91,0.501,834,793,247,10,258.69
17,7,高级,后端开发,上海,8,18,1,30,1,1,制造业,3000,A轮,3,5,1,0.068,57,0.053,0.551,T2,3.71,3.38,4.58,0.608,3.91,0.501,783,748,221,18,251.43
18,7,初级,产品经理,上海,17,24,0,49,3,0,制造业,3000,A轮,3,5,1,0.068,57,0.053,0.551,T2,3.71,3.38,4.58,0.608,3.91,0.501,791,750,213,10,250
19,7,高级,运营,新加坡,31,36,1,44,3,0,制造业,3000,A轮,3,5,1,0.068,57,0.053,0.551,T2,3.71,3.38,4.58,0.608,3.91,0.501,810,769,222,16,251.73
20,8,中级,数据分析,上海,14,19,0,8,2,1,制造业,1000,上市公司,1,2,1,0.322,221,0.163,0.354,T3,3.6,4.4,2.94,0.287,4.84,0.293,703,600,163,31,299.8
21,9,高级,数据分析,新加坡,13,25,0,7,3,1,制造业,500,上市公司,5,4,0,0.458,286,0.294,0.566,T1,4.95,3.77,4.31,0.285,2.24,0.309,830,786,241,79,418
22,9,初级,数据分析,新加坡,27,36,0,18,2,1,制造业,500,上市公司,5,4,0,0.458,286,0.294,0.566,T1,4.95,3.77,4.31,0.285,2.24,0.309,805,763,245,79,418
23,9,中级,前端开发,广州,8,13,0,30,3,0,制造业,500,上市公司,5,4,0,0.458,286,0.294,0.566,T1,4.95,3.77,4.31,0.285,2.24,0.309,799,768,246,85,418
24,10,中级,产品经理,广州,33,35,0,57,3,0,咨询,100,上市公司,1,1,0,0.157,284,0.076,0.437,T3,3.34,4.09,4.43,0.705,6.42,0.122,701,631,162,10,257.21
25,10,初级,后端开发,上海,12,19,0,34,1,1,咨询,100,上市公司,1,1,0,0.157,284,0.076,0.437,T3,3.34,4.09,4.43,0.705,6.42,0.122,622,477,116,7,237.58
26,10,高级,后端开发,深圳,27,38,0,53,2,1,咨询,100,上市公司,1,1,0,0.157,284,0.076,0.437,T3,3.34,4.09,4.43,0.705,6.42,0.122,678,596,164,13,257.93
27,10,中级,运营,深圳,39,41,0,48,2,0,咨询,100,上市公司,1,1,0,0.157,284,0.076,0.437,T3,3.34,4.09,4.43,0.705,6.42,0.122,351,140,12,0,225
28,10,中级,算法工程师,杭州,31,43,0,40,2,1,咨询,100,上市公司,1,1,0,0.157,284,0.076,0.437,T3,3.34,4.09,4.43,0.705,6.42,0.122,749,689,198,19,269
29,11,初级,算法工程师,深圳,27,32,0,51,1,1,教育,500,未融资,2,1,0,0.261,157,0.187,0.622,T2,4.8,4.96,4.29,0.329,3.33,0.245,788,749,224,42,323.16
30,12,中级,运营,深圳,19,27,0,25,2,0,制造业,100,A轮,1,5,0,0.253,210,0.295,0.617,T3,4.55,4.42,3.95,0.43,1.34,0.326,772,735,206,72,299.39
31,13,高级,算法工程师,深圳,12,19,0,23,2,1,零售,100,A轮,1,4,1,0.263,258,0.189,0.244,T3,3.15,3.59,2.54,0.541,5.32,0.158,801,764,205,46,301.38
32,13,中级,运营,新加坡,15,17,1,53,2,0,零售,100,A轮,1,4,1,0.263,258,0.189,0.244,T3,3.15,3.59,2.54,0.541,5.32,0.158,764,718,214,43,303.91
